match_id,season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,home_team,month,day,day_name,ms_batting_team,ms_bowling_team,ms_runs_scored,ms_wickets,ms_fours,ms_sixes,ms_dots,ms_no_balls,ms_wides
1359499,2023,Mumbai Indians,Sunrisers Hyderabad,2023-04-18,25,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,C Green,Nitin Menon,Vinod Seshan,A Bengeri,Shakti Singh,Mumbai Indians,14.0,,Group,Sunrisers Hyderabad,April,18,Tuesday,Mumbai Indians,Sunrisers Hyderabad,,5,19,9,0,,2
1359502,2023,Kolkata Knight Riders,Delhi Capitals,2023-04-20,28,Arun Jaitley Stadium,Delhi,Delhi Capitals,field,I Sharma,MA Gough,R Pandit,Abhijit Bhattacharya,Amit Sharma,Delhi Capitals,,4.0,Group,Delhi Capitals,April,20,Thursday,Delhi Capitals,Kolkata Knight Riders,,6,17,0,0,2,3
1359524,2023,Royal Challengers Bangalore,Delhi Capitals,2023-05-06,50,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,bat,PD Salt,RJ Tucker,YC Barde,Mohamad Rafi,M Nayyar,Delhi Capitals,,7.0,Group,Delhi Capitals,May,6,Saturday,Delhi Capitals,Royal Challengers Bangalore,,3,15,12,0,1,2
1359497,2023,Gujarat Titans,Rajasthan Royals,2023-04-16,23,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,field,SO Hetmyer,AK Chaudhary,CB Gaffaney,M Kuppuraj,Prakash Bhatt,Rajasthan Royals,,3.0,Group,Gujarat Titans,April,16,Sunday,Rajasthan Royals,Gujarat Titans,,7,10,15,0,,2
1359493,2023,Sunrisers Hyderabad,Kolkata Knight Riders,2023-04-14,19,Eden Gardens,Kolkata,Kolkata Knight Riders,field,HC Brook,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Sunrisers Hyderabad,23.0,,Group,Kolkata Knight Riders,April,14,Friday,Sunrisers Hyderabad,Kolkata Knight Riders,,4,21,11,0,1,11
1359502,2023,Kolkata Knight Riders,Delhi Capitals,2023-04-20,28,Arun Jaitley Stadium,Delhi,Delhi Capitals,field,I Sharma,MA Gough,R Pandit,Abhijit Bhattacharya,Amit Sharma,Delhi Capitals,,4.0,Group,Delhi Capitals,April,20,Thursday,Kolkata Knight Riders,Delhi Capitals,,10,10,6,0,,11
1359526,2023,Rajasthan Royals,Sunrisers Hyderabad,2023-05-07,52,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,GD Phillips,Nitin Menon,Vinod Seshan,VM Dhokre,J Srinath,Sunrisers Hyderabad,,4.0,Group,Rajasthan Royals,May,7,Sunday,Sunrisers Hyderabad,Rajasthan Royals,,6,15,13,0,1,4
1359511,2023,Rajasthan Royals,Chennai Super Kings,2023-04-27,37,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,YBK Jaiswal,A Totre,YC Barde,Mohamad Rafi,M Nayyar,Rajasthan Royals,32.0,,Group,Rajasthan Royals,April,27,Thursday,Rajasthan Royals,Chennai Super Kings,,5,21,6,0,,4
1359522,2023,Rajasthan Royals,Gujarat Titans,2023-05-05,48,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rashid Khan,HAS Khalid,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,,9.0,Group,Rajasthan Royals,May,5,Friday,Rajasthan Royals,Gujarat Titans,,10,9,3,0,,7
1359542,2023,Lucknow Super Giants,Kolkata Knight Riders,2023-05-20,68,Eden Gardens,Kolkata,Kolkata Knight Riders,field,N Pooran,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Lucknow Super Giants,1.0,,Group,Kolkata Knight Riders,May,20,Saturday,Kolkata Knight Riders,Lucknow Super Giants,,7,17,7,0,,5
1359487,2023,Gujarat Titans,Kolkata Knight Riders,2023-04-09,13,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,bat,RK Singh,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Kolkata Knight Riders,,3.0,Group,Gujarat Titans,April,9,Sunday,Kolkata Knight Riders,Gujarat Titans,,7,15,15,0,,3
1359512,2023,Lucknow Super Giants,Punjab Kings,2023-04-28,38,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,field,MP Stoinis,Nitin Menon,Vinod Seshan,VM Dhokre,Shakti Singh,Lucknow Super Giants,56.0,,Group,Punjab Kings,April,28,Friday,Punjab Kings,Lucknow Super Giants,,10,18,8,0,2,7
1359529,2023,Chennai Super Kings,Delhi Capitals,2023-05-10,55,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RA Jadeja,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,27.0,,Group,Chennai Super Kings,May,10,Wednesday,Chennai Super Kings,Delhi Capitals,,8,10,7,0,,10
1359478,2023,Rajasthan Royals,Sunrisers Hyderabad,2023-04-02,4,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,JC Buttler,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,72.0,,Group,Sunrisers Hyderabad,April,2,Sunday,Sunrisers Hyderabad,Rajasthan Royals,,8,8,5,0,3,3
1359500,2023,Lucknow Super Giants,Rajasthan Royals,2023-04-19,26,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,MP Stoinis,J Madanagopal,YC Barde,PM Joshi,R Seth,Lucknow Super Giants,10.0,,Group,Rajasthan Royals,April,19,Wednesday,Lucknow Super Giants,Rajasthan Royals,,7,13,5,0,1,1
1359500,2023,Lucknow Super Giants,Rajasthan Royals,2023-04-19,26,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,MP Stoinis,J Madanagopal,YC Barde,PM Joshi,R Seth,Lucknow Super Giants,10.0,,Group,Rajasthan Royals,April,19,Wednesday,Rajasthan Royals,Lucknow Super Giants,,6,13,4,0,1,6
1359521,2023,Kolkata Knight Riders,Sunrisers Hyderabad,2023-05-04,47,Rajiv Gandhi International Stadium,Hyderabad,Kolkata Knight Riders,bat,CV Varun,KN Ananthapadmanabhan,MA Gough,P Joshi,V Narayan Kutty,Kolkata Knight Riders,5.0,,Group,Sunrisers Hyderabad,May,4,Thursday,Sunrisers Hyderabad,Kolkata Knight Riders,,8,15,5,0,3,4
1359481,2023,Delhi Capitals,Gujarat Titans,2023-04-04,7,Arun Jaitley Stadium,Delhi,Gujarat Titans,field,B Sai Sudharsan,A Nand Kishore,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Gujarat Titans,,6.0,Group,Delhi Capitals,April,4,Tuesday,Delhi Capitals,Gujarat Titans,,8,14,6,0,,11
1359523,2023,Mumbai Indians,Chennai Super Kings,2023-05-06,49,MA Chidambaram Stadium,Chennai,Chennai Super Kings,field,M Pathirana,BNJ Oxenford,Navdeep Singh,P Joshi,V Narayan Kutty,Chennai Super Kings,,6.0,Group,Chennai Super Kings,May,6,Saturday,Chennai Super Kings,Mumbai Indians,,4,9,7,0,1,2
1359522,2023,Rajasthan Royals,Gujarat Titans,2023-05-05,48,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rashid Khan,HAS Khalid,VK Sharma,VM Dhokre,J Srinath,Gujarat Titans,,9.0,Group,Rajasthan Royals,May,5,Friday,Gujarat Titans,Rajasthan Royals,,1,14,3,0,1,
1359485,2023,Rajasthan Royals,Delhi Capitals,2023-04-08,11,Barsapara Cricket Stadium,Guwahati,Delhi Capitals,field,YBK Jaiswal,Navdeep Singh,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,57.0,,Group,Rajasthan Royals,April,8,Saturday,Rajasthan Royals,Delhi Capitals,,4,23,7,0,1,4
1359542,2023,Lucknow Super Giants,Kolkata Knight Riders,2023-05-20,68,Eden Gardens,Kolkata,Kolkata Knight Riders,field,N Pooran,J Madanagopal,UV Gandhe,Mohamad Rafi,M Nayyar,Lucknow Super Giants,1.0,,Group,Kolkata Knight Riders,May,20,Saturday,Lucknow Super Giants,Kolkata Knight Riders,,8,12,10,0,2,5
1359525,2023,Gujarat Titans,Lucknow Super Giants,2023-05-07,51,Narendra Modi Stadium,Ahmedabad,Lucknow Super Giants,field,Shubman Gill,AK Chaudhary,A Nand Kishore,M Krishnadas,Prakash Bhatt,Gujarat Titans,56.0,,Group,Gujarat Titans,May,7,Sunday,Gujarat Titans,Lucknow Super Giants,,2,15,14,0,1,4
1359493,2023,Sunrisers Hyderabad,Kolkata Knight Riders,2023-04-14,19,Eden Gardens,Kolkata,Kolkata Knight Riders,field,HC Brook,CB Gaffaney,GR Sadashiv Iyer,M Kuppuraj,DS Manohar,Sunrisers Hyderabad,23.0,,Group,Kolkata Knight Riders,April,14,Friday,Kolkata Knight Riders,Sunrisers Hyderabad,,7,18,11,0,2,6
1359494,2023,Royal Challengers Bangalore,Delhi Capitals,2023-04-15,20,M Chinnaswamy Stadium,Bengaluru,Delhi Capitals,field,V Kohli,KN Ananthapadmanabhan,MV Saidharshan Kumar,Abhijit Bhattacharya,Amit Sharma,Royal Challengers Bangalore,23.0,,Group,Royal Challengers Bangalore,April,15,Saturday,Delhi Capitals,Royal Challengers Bangalore,,9,18,2,0,,3
1359514,2023,Sunrisers Hyderabad,Delhi Capitals,2023-04-29,40,Arun Jaitley Stadium,Delhi,Sunrisers Hyderabad,bat,MR Marsh,MA Gough,Navdeep Singh,P Joshi,V Narayan Kutty,Sunrisers Hyderabad,9.0,,Group,Delhi Capitals,April,29,Saturday,Sunrisers Hyderabad,Delhi Capitals,,6,17,9,0,1,8
1359534,2023,Royal Challengers Bangalore,Rajasthan Royals,2023-05-14,60,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,bat,WD Parnell,KN Ananthapadmanabhan,Navdeep Singh,P Joshi,V Narayan Kutty,Royal Challengers Bangalore,112.0,,Group,Rajasthan Royals,May,14,Sunday,Rajasthan Royals,Royal Challengers Bangalore,,10,4,4,0,,2
1359509,2023,Gujarat Titans,Mumbai Indians,2023-04-25,35,Narendra Modi Stadium,Ahmedabad,Mumbai Indians,field,A Manohar,AK Chaudhary,A Nand Kishore,M Krishnadas,SA Satbhai,Gujarat Titans,55.0,,Group,Gujarat Titans,April,25,Tuesday,Mumbai Indians,Gujarat Titans,,9,8,9,0,,1
1359476,2023,Punjab Kings,Kolkata Knight Riders,2023-04-01,2,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Kolkata Knight Riders,field,Arshdeep Singh,BNJ Oxenford,YC Barde,PM Joshi,M Nayyar,Punjab Kings,7.0,,Group,Punjab Kings,April,1,Saturday,Punjab Kings,Kolkata Knight Riders,,5,17,9,0,1,2
1359520,2023,Punjab Kings,Mumbai Indians,2023-05-03,46,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Mumbai Indians,field,Ishan Kishan,J Madanagopal,RJ Tucker,Mohamad Rafi,SS Raul,Mumbai Indians,,6.0,Group,Punjab Kings,May,3,Wednesday,Punjab Kings,Mumbai Indians,,3,20,7,0,2,10
1359524,2023,Royal Challengers Bangalore,Delhi Capitals,2023-05-06,50,Arun Jaitley Stadium,Delhi,Royal Challengers Bangalore,bat,PD Salt,RJ Tucker,YC Barde,Mohamad Rafi,M Nayyar,Delhi Capitals,,7.0,Group,Delhi Capitals,May,6,Saturday,Royal Challengers Bangalore,Delhi Capitals,,4,16,6,0,,6
1359529,2023,Chennai Super Kings,Delhi Capitals,2023-05-10,55,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RA Jadeja,CB Gaffaney,NA Patwardhan,M Krishnadas,Sanjay Verma,Chennai Super Kings,27.0,,Group,Chennai Super Kings,May,10,Wednesday,Delhi Capitals,Chennai Super Kings,,8,10,6,0,,5
